voter_id,full_name,email,age,gender,state,district,phone
RJ0000000058,Aakash Chauhan,aakashchauhan58@gmail.com,64,M,RJ,Nizamabad,9265155099
CG0000000059,Varun Srivastava,varunsrivastava59@gmail.com,18,M,CG,Warangal,9882827266
ML0000000060,Ajay Pandey,ajaypandey60@gmail.com,51,M,ML,Karimnagar,9750529499
MP0000000061,Ritu Sharma,ritusharma61@gmail.com,39,F,MP,Rangareddy,9658155596
KA0000000062,Sunil Chaudhary,sunilchaudhary62@gmail.com,24,M,KA,Warangal,9650103206
MZ0000000063,Mahesh Chopra,maheshchopra63@gmail.com,67,M,MZ,Chennai,9227487636
CG0000000064,Umesh Pandey,umeshpandey64@gmail.com,46,M,CG,Gurgaon,9435588533
TR0000000065,Kamlesh Agarwal,kamleshagarwal65@gmail.com,47,M,TR,Adilabad,9277955081
TR0000000066,Kamlesh Yadav,kamleshyadav66@gmail.com,74,M,TR,Hyderabad,9539437292
TR0000000067,Priya Khanna,priyakhanna67@gmail.com,54,F,TR,Karimnagar,9167228740
MN0000000068,Pavan Sharma,pavansharma68@gmail.com,64,M,MN,Mysore,9057731768
TR0000000069,Anil Agarwal,anilagarwal69@gmail.com,33,M,TR,Nalgonda,9154028625
AR0000000070,Suresh Srivastava,sureshsrivastava70@gmail.com,69,O,AR,Vijayawada,9327032656
GA0000000071,Satish Anand,satishanand71@gmail.com,23,M,GA,Mysore,9816668954
AP0000000072,Vikram Mishra,vikrammishra72@gmail.com,48,O,AP,Hubli,9194389403
GJ0000000073,Lokesh Nair,lokeshnair73@gmail.com,20,M,GJ,Hyderabad,9578274678
UK0000000074,Anil Mishra,anilmishra74@gmail.com,68,M,UK,Guntur,9045385181
CG0000000075,Mahesh Agarwal,maheshagarwal75@gmail.com,64,M,CG,Noida,9733139961
NL0000000076,Rajesh Pandey,rajeshpandey76@gmail.com,49,M,NL,Coimbatore,9390890158
CG0000000077,Smita Agarwal,smitaagarwal77@gmail.com,73,F,CG,Medak,9245321306
AS0000000078,Tarun Agarwal,tarunagarwal78@gmail.com,63,M,AS,Gurgaon,9693239007
JH0000000079,Naveen Patel,naveenpatel79@gmail.com,70,M,JH,Visakhapatnam,9901029878
BR0000000080,Praveen Joshi,praveenjoshi80@gmail.com,39,O,BR,Nashik,9099072400
WB0000000081,Savita Pandey,savitapandey81@gmail.com,20,F,WB,Khammam,9433907775
TG0000000082,Naveen Verma,naveenverma82@gmail.com,38,M,TG,Bengaluru,9724870259
TN0000000083,Mahesh Kapoor,maheshkapoor83@gmail.com,47,M,TN,Kurnool,9580928650
RJ0000000084,Lokesh Tiwari,lokeshtiwari84@gmail.com,54,O,RJ,Nizamabad,9287927377
HP0000000085,Dinesh Kumar,dineshkumar85@gmail.com,28,M,HP,Chennai,9620052394
TN0000000086,Ritu Kumar,ritukumar86@gmail.com,29,F,TN,Pune,9044348735
UK0000000087,Ritu Chauhan,rituchauhan87@gmail.com,37,F,UK,Hyderabad,9535988642
KL0000000088,Sarita Mehta,saritamehta88@gmail.com,56,F,KL,Karimnagar,9497269378
HP0000000089,Pavan Chauhan,pavanchauhan89@gmail.com,21,O,HP,Adilabad,9168601923
KL0000000090,Kamlesh Patel,kamleshpatel90@gmail.com,63,M,KL,Mahbubnagar,9050479649
UK0000000091,Harish Malhotra,harishmalhotra91@gmail.com,28,M,UK,Coimbatore,9495651612
TG0000000092,Pavan Reddy,pavanreddy92@gmail.com,66,M,TG,Adilabad,9902624421
WB0000000093,Vikram Patel,vikrampatel93@gmail.com,74,M,WB,Mysore,9661059841
TR0000000094,Abhishek Gandhi,abhishekgandhi94@gmail.com,59,M,TR,Karimnagar,9198252143
TN0000000095,Archana Pandey,archanapandey95@gmail.com,66,F,TN,Noida,9201043254
MP0000000096,Rahul Tiwari,rahultiwari96@gmail.com,71,M,MP,Madurai,9754329376
MN0000000097,Ritu Reddy,ritureddy97@gmail.com,57,F,MN,Pune,9912106556
HR0000000098,Santosh Mishra,santoshmishra98@gmail.com,24,M,HR,Delhi,9567309490
MP0000000099,Lokesh Kumar,lokeshkumar99@gmail.com,66,M,MP,Khammam,9042693564
KL0000000100,Prakash Malhotra,prakashmalhotra100@gmail.com,58,M,KL,Nizamabad,9803548537
AP0000000101,Arjun Singh,arjunsingh101@gmail.com,41,M,AP,Nagpur,9186250862
OD0000000102,Pallavi Chopra,pallavichopra102@gmail.com,41,F,OD,Hyderabad,9977927308
BR0000000103,Meena Desai,meenadesai103@gmail.com,27,F,BR,Mahbubnagar,9891542041
WB0000000104,Geeta Sharma,geetasharma104@gmail.com,54,F,WB,Tirupati,9702396209
AR0000000105,Ajay Bajaj,ajaybajaj105@gmail.com,62,M,AR,Warangal,9956221197
KA0000000106,Rekha Mishra,rekhamishra106@gmail.com,62,F,KA,Gurgaon,9054789390
DL0000000107,Omkar Khanna,omkarkhanna107@gmail.com,46,O,DL,Mysore,9424870582
AS0000000108,Naveen Srivastava,naveensrivastava108@gmail.com,34,M,AS,Hyderabad,9034481491
OD0000000109,Sarita Desai,saritadesai109@gmail.com,34,F,OD,Delhi,9933406660
UP0000000110,Savita Dubey,savitadubey110@gmail.com,47,F,UP,Bengaluru,9230824906
TR0000000111,Rakesh Sharma,rakeshsharma111@gmail.com,21,M,TR,Mysore,9055254908
RJ0000000112,Sanjay Joshi,sanjayjoshi112@gmail.com,66,M,RJ,Chennai,9500775750
HP0000000113,Umesh Bansal,umeshbansal113@gmail.com,61,M,HP,Mumbai,9509819808
TN0000000114,Mahesh Nair,maheshnair114@gmail.com,32,M,TN,Vijayawada,9365102988
GJ0000000115,Aakash Pandey,aakashpandey115@gmail.com,72,M,GJ,Kurnool,9221640390
MH0000000116,Mahesh Mehta,maheshmehta116@gmail.com,63,O,MH,Karimnagar,9852119536
CG0000000117,Rakesh Kumar,rakeshkumar117@gmail.com,45,M,CG,Khammam,9241901719
MH0000000118,Santosh Gupta,santoshgupta118@gmail.com,29,M,MH,Mahbubnagar,9743944667
UK0000000119,Sunil Mishra,sunilmishra119@gmail.com,71,M,UK,Tirupati,9416115978
ML0000000120,Sanjay Patel,sanjaypatel120@gmail.com,54,M,ML,Pune,9254220980
TG0000000121,Meena Singh,meenasingh121@gmail.com,48,F,TG,Tirupati,9616889984
TN0000000122,Seema Bansal,seemabansal122@gmail.com,59,F,TN,Tirupati,9164315116
MN0000000123,Rahul Desai,rahuldesai123@gmail.com,35,M,MN,Warangal,9835091989
TN0000000124,Sita Mehta,sitamehta124@gmail.com,37,F,TN,Chennai,9902639450
ML0000000125,Kamlesh Agarwal,kamleshagarwal125@gmail.com,31,M,ML,Noida,9648857845
MH0000000126,Pavan Agarwal,pavanagarwal126@gmail.com,51,M,MH,Vijayawada,9871609381
CG0000000127,Pavan Bansal,pavanbansal127@gmail.com,57,O,CG,Coimbatore,9910272919
KL0000000128,Vandana Joshi,vandanajoshi128@gmail.com,69,F,KL,Tirupati,9673250128
CG0000000129,Mahesh Sharma,maheshsharma129@gmail.com,63,M,CG,Guntur,9077149190
TN0000000130,Asha Patel,ashapatel130@gmail.com,61,F,TN,Hyderabad,9397405660
KL0000000131,Santosh Chauhan,santoshchauhan131@gmail.com,28,M,KL,Mahbubnagar,9071907176
BR0000000132,Suresh Kapoor,sureshkapoor132@gmail.com,56,M,BR,Kurnool,9297564938
GA0000000133,Omkar Chopra,omkarchopra133@gmail.com,29,M,GA,Delhi,9429912017
BR0000000134,Sanjay Bansal,sanjaybansal134@gmail.com,51,M,BR,Vijayawada,9766072582
GJ0000000135,Akshay Dubey,akshaydubey135@gmail.com,67,M,GJ,Kurnool,9710092455
GA0000000136,Pavan Khanna,pavankhanna136@gmail.com,57,M,GA,Guntur,9263895538
GA0000000137,Varun Verma,varunverma137@gmail.com,38,M,GA,Rangareddy,9681618535
KL0000000138,Lokesh Nair,lokeshnair138@gmail.com,54,M,KL,Gurgaon,9855365103
OD0000000139,Meena Tiwari,meenatiwari139@gmail.com,43,F,OD,Gurgaon,9148758469
TG0000000140,Yogesh Reddy,yogeshreddy140@gmail.com,49,M,TG,Delhi,9924833644
TN0000000141,Priya Nair,priyanair141@gmail.com,51,F,TN,Nizamabad,9742370833
UP0000000142,Rekha Gupta,rekhagupta142@gmail.com,58,F,UP,Nizamabad,9086819351
JH0000000143,Varun Goel,varungoel143@gmail.com,19,M,JH,Khammam,9749411377
MZ0000000144,Aakash Chauhan,aakashchauhan144@gmail.com,55,M,MZ,Nizamabad,9876966574
BR0000000145,Tarun Gupta,tarungupta145@gmail.com,56,M,BR,Pune,9850113504
OD0000000146,Ramesh Patel,rameshpatel146@gmail.com,65,O,OD,Visakhapatnam,9674619120
AS0000000147,Archana Dubey,archanadubey147@gmail.com,61,F,AS,Rangareddy,9073715880
MH0000000148,Sita Kapoor,sitakapoor148@gmail.com,65,F,MH,Nizamabad,9041341741
SK0000000149,Pavan Gupta,pavangupta149@gmail.com,70,M,SK,Nalgonda,9477958289
RJ0000000150,Aakash Pandey,aakashpandey150@gmail.com,20,M,RJ,Guntur,9169943889
KA0000000151,Satish Chauhan,satishchauhan151@gmail.com,59,O,KA,Nashik,9176235997
MN0000000152,Ramesh Yadav,rameshyadav152@gmail.com,36,O,MN,Rangareddy,9006658161
MH0000000153,Sita Bansal,sitabansal153@gmail.com,25,F,MH,Gurgaon,9686112205
NL0000000154,Praveen Tiwari,praveentiwari154@gmail.com,19,M,NL,Warangal,9789093838
MZ0000000155,Seema Verma,seemaverma155@gmail.com,34,F,MZ,Mahbubnagar,9706972054
ML0000000156,Sneha Verma,snehaverma156@gmail.com,37,F,ML,Vijayawada,9251489847
HP0000000157,Preeti Reddy,preetireddy157@gmail.com,60,F,HP,Visakhapatnam,9766652182
CG0000000158,Vijay Mishra,vijaymishra158@gmail.com,28,M,CG,Coimbatore,9095620310
WB0000000159,Meena Agarwal,meenaagarwal159@gmail.com,28,F,WB,Delhi,9159631933
CG0000000160,Anita Mishra,anitamishra160@gmail.com,22,F,CG,Delhi,9678600955
NL0000000161,Harish Bhatia,harishbhatia161@gmail.com,24,O,NL,Nalgonda,9813102649
JH0000000162,Mahesh Bhatia,maheshbhatia162@gmail.com,19,O,JH,Gurgaon,9329363671
GA0000000163,Suresh Gupta,sureshgupta163@gmail.com,73,M,GA,Adilabad,9327685113
HR0000000164,Suresh Kumar,sureshkumar164@gmail.com,40,O,HR,Guntur,9575232842
RJ0000000165,Kiran Sharma,kiransharma165@gmail.com,20,O,RJ,Mumbai,9652475940
AR0000000166,Archana Chauhan,archanachauhan166@gmail.com,29,F,AR,Nizamabad,9719919874
AP0000000167,Tarun Khanna,tarunkhanna167@gmail.com,51,M,AP,Kurnool,9748736099
UK0000000168,Sunita Anand,sunitaanand168@gmail.com,56,F,UK,Warangal,9815069309
CG0000000169,Lokesh Chopra,lokeshchopra169@gmail.com,40,M,CG,Chennai,9530923763
OD0000000170,Deepak Mehta,deepakmehta170@gmail.com,64,M,OD,Rangareddy,9775957726
MH0000000171,Sanjay Chaudhary,sanjaychaudhary171@gmail.com,35,O,MH,Guntur,9587314484
MN0000000172,Madhuri Bansal,madhuribansal172@gmail.com,47,F,MN,Vijayawada,9011171967
DL0000000173,Meena Nair,meenanair173@gmail.com,66,F,DL,Nizamabad,9970698431
MH0000000174,Asha Mishra,ashamishra174@gmail.com,57,F,MH,Karimnagar,9890723801
ML0000000175,Vikram Chaudhary,vikramchaudhary175@gmail.com,73,O,ML,Pune,9435838173
CG0000000176,Neha Desai,nehadesai176@gmail.com,26,F,CG,Vijayawada,9309247506
MZ0000000177,Manish Patel,manishpatel177@gmail.com,34,M,MZ,Warangal,9395888081
NL0000000178,Ganesh Sharma,ganeshsharma178@gmail.com,36,O,NL,Pune,9115380617
MH0000000179,Harish Desai,harishdesai179@gmail.com,19,M,MH,Mumbai,9485141999
SK0000000180,Pratibha Bansal,pratibhabansal180@gmail.com,56,F,SK,Bengaluru,9171455266
HR0000000181,Kavita Dubey,kavitadubey181@gmail.com,22,F,HR,Mysore,9155617497
JH0000000182,Anil Patel,anilpatel182@gmail.com,38,O,JH,Mumbai,9916726383
MP0000000183,Anita Anand,anitaanand183@gmail.com,62,F,MP,Mumbai,9513072563
KA0000000184,Kiran Srivastava,kiransrivastava184@gmail.com,47,O,KA,Kurnool,9093904888
GJ0000000185,Prakash Srivastava,prakashsrivastava185@gmail.com,41,M,GJ,Tirupati,9523249380
ML0000000186,Priya Bajaj,priyabajaj186@gmail.com,36,F,ML,Coimbatore,9121821848
ML0000000187,Vandana Malhotra,vandanamalhotra187@gmail.com,19,F,ML,Delhi,9856525848
TG0000000188,Naresh Bajaj,nareshbajaj188@gmail.com,26,O,TG,Khammam,9109784729
DL0000000189,Asha Gandhi,ashagandhi189@gmail.com,75,F,DL,Nashik,9368236036
BR0000000190,Rajesh Mehta,rajeshmehta190@gmail.com,67,M,BR,Vijayawada,9815225964
OD0000000191,Ramesh Bhatia,rameshbhatia191@gmail.com,46,M,OD,Madurai,9569883218
CG0000000192,Kiran Pandey,kiranpandey192@gmail.com,31,M,CG,Chennai,9514739754
MH0000000193,Vijay Reddy,vijayreddy193@gmail.com,37,M,MH,Warangal,9362142972
GA0000000194,Abhishek Verma,abhishekverma194@gmail.com,59,M,GA,Pune,9439050627
GJ0000000195,Dinesh Kumar,dineshkumar195@gmail.com,66,M,GJ,Mahbubnagar,9444075671
JH0000000196,Tarun Gupta,tarungupta196@gmail.com,25,M,JH,Coimbatore,9007998355
HR0000000197,Preeti Bhatia,preetibhatia197@gmail.com,41,F,HR,Hyderabad,9266052000
HP0000000198,Dinesh Mehta,dineshmehta198@gmail.com,65,M,HP,Pune,9725717667
CG0000000199,Ganesh Yadav,ganeshyadav199@gmail.com,24,M,CG,Mahbubnagar,9509039927
MH0000000200,Varun Mehta,varunmehta200@gmail.com,65,O,MH,Rangareddy,9558632632
